time,TCP inbound total,TCP outbound total
0.0030,0.0,
2.995,1190.6003344481571,
7.99,1138.3416458852869,
12.003,1104.181818181813,
16.015,956.0249376558685,
20.028,899.6836861768322,
24.04,984.2294264339175,
28.05,1023.7406483790407,
32.063,928.7571606475914,
36.08,1122.5124378109454,
40.1,1140.8109452736169,
44.113,1139.6953807740279,
49.125,1165.2242524916983,
54.143,1094.5728518057483,
58.155,875.2044887780421,
62.168,787.1681195516766,
66.188,801.0211180124189,
70.2,746.3650000000198,
74.205,1000.0,
78.215,1112.2019950124525,
82.228,1127.160647571618,
86.243,1165.2154420921463,
90.26,1162.6243781094527,
94.278,1008.1021170610281,
98.293,800.2141967621385,
102.3,793.4075000000012,
106.31,859.3507462686487,
110.325,817.3890274314168,
114.338,776.2714819427392,
118.353,828.4283935242585,
122.363,954.6267166042517,
126.37,892.952618453863,
130.383,763.8754669987744,
134.395,863.5137157107092,
138.408,851.6089663760804,
142.42,1055.6384039900215,
146.433,1037.1257783312717,
150.445,954.1147132169576,
154.458,978.1419676214174,
158.47,1186.241895261835,
162.485,1100.922885572159,
166.5,1027.319201994995,
170.518,1116.4099378882104,
174.535,1005.7905236907661,
178.548,804.176836861773,
182.563,912.2789539228012,
186.575,942.9675810473641,
190.588,803.7608966376032,
194.603,991.118306351204,
198.615,1089.8952618453818,
202.625,1179.8802992518577,
206.64,1150.7537313432906,
210.658,1241.128268991284,
214.673,1158.4283935242759,
218.688,1057.6264009962629,
222.705,863.2985074627063,
226.72,854.0673316708079,
230.733,800.9838107098554,
234.745,1019.0847880299032,
238.755,1165.5162094763314,
242.77,1154.0597014925245,
246.788,1226.9165628891528,
250.803,1177.357409713595,
254.818,1094.1494396014966,
258.835,891.3084577114278,
262.85,939.1920199501328,
266.863,868.1245330012499,
270.878,924.1643835616485,
274.89,1074.1870324189504,
278.903,1238.6326276463228,
282.915,1182.5685785536102,
286.928,1161.3051058530546,
290.943,1056.453300124541,
294.955,1048.0473815461162,
298.965,922.7556109725685,
302.978,924.3437110834348,
306.993,928.3038605230421,
311.005,952.9675810473874,
315.015,1030.3765586035051,
319.025,1067.7755610972347,
323.035,1040.8628428927645,
327.045,1089.875311720704,
331.053,1184.4818976279591,
335.06,786.2094763092443,
339.07,797.027431421436,
343.08,879.6109725685762,
347.093,2264.717310087194,
351.11,876.1119402985005,
355.123,3798.76903870161,
359.133,2657.755915317563,
363.145,3215.092269326688,
367.158,1114.1320049813178,
371.17,1199.114713216946,
375.178,913.1235955056319,
379.185,795.7805486284185,
383.193,856.724094881411,
387.205,862.373134328356,
391.218,983.4207240948756,
395.223,1067.4007490636855,
399.23,1158.4214463840156,
403.24,1139.6957605985165,
407.25,1135.0024937655826,
411.26,1169.9401496259259,
415.273,901.4346201743485,
419.29,879.9701492537557,
423.303,899.510611735311,
427.315,702.3706467661762,
431.328,825.9450686641779,
435.338,1031.9003735989934,
439.353,1123.6737235367489,
443.368,1231.9950186799408,
447.38,1168.2917705735604,
451.39,1232.0000000000164,
455.4,1027.2294264339014,
459.41,692.8952618453889,
463.42,860.1022443890298,
467.433,756.792029887925,
471.45,762.241293532329,
475.468,940.5080946450844,
479.48,1175.4613466334106,
483.493,1175.611457036133,
487.505,1142.3167082294126,
491.52,1176.089552238807,
495.535,841.216957605992,
499.548,932.4831880448133,
503.563,885.623910336246,
507.575,936.7306733166885,
511.588,865.1880448318758,
515.603,1043.910336239115,
519.615,1213.4438902743514,
523.625,1113.1271820448621,
527.635,1183.403990024926,
531.648,1081.4719800747453,
535.663,1016.9339975093377,
539.673,720.7515605492808,
543.683,806.737235367384,
547.695,761.0548628429113,
551.708,844.5728518057192,
555.72,1100.9326683291747,
559.733,1136.1469489414997,
563.745,1199.7780548628104,
567.755,3301.9975062344165,
571.768,1178.4557907845578,
575.783,762.5155666251557,
579.798,814.9987546699806,
583.81,808.0847880299647,
587.82,713.7830423939615,
591.835,931.3880597015342,
595.848,922.6167290885996,
0.0030,,0.0
2.995,,150.83612040133778
7.99,,145.93765586035073
12.003,,140.75466998754425
16.015,,120.9102244389042
20.028,,112.60772104607605
24.04,,125.3466334164587
28.05,,133.07730673316695
32.063,,117.79327521793333
36.08,,142.87064676616828
40.1,,145.40298507462788
44.113,,146.05493133582948
49.125,,148.67940199335595
54.143,,138.77957658779505
58.155,,110.78054862843155
62.168,,103.35990037359669
66.188,,99.38881987577842
70.2,,99.3125
74.205,,120.64588528678145
78.215,,149.00748129675912
82.228,,143.7982565379804
86.243,,149.04856787048757
90.26,,147.18407960198832
94.278,,130.55043586550522
98.293,,105.70112079701106
102.3,,101.77500000000146
106.31,,110.0174129353244
110.325,,103.23940149625703
114.338,,100.70983810709983
118.353,,113.22291407222828
122.363,,127.48314606741748
126.37,,121.16458852867714
130.383,,105.89290161892988
134.395,,117.92269326683176
138.408,,116.14943960149353
142.42,,139.8553615960117
146.433,,127.67123287671015
150.445,,126.241895261848
154.458,,125.29763387297446
158.47,,152.67581047381444
162.485,,141.35572139303483
166.5,,136.83291770573857
170.518,,145.0310559006211
174.535,,123.9426433915199
178.548,,106.4134495641345
182.563,,115.85554171855266
186.575,,121.17955112220002
190.588,,103.20797011207361
194.603,,126.20921544209476
198.615,,140.23690773067477
202.625,,150.17206982543698
206.64,,147.44029850746065
210.658,,156.55292652552868
214.673,,150.0473225404738
218.688,,140.82689912827217
222.705,,109.51741293531846
226.72,,108.94513715710607
230.733,,104.28642590286948
234.745,,129.1147132169576
238.755,,151.00748129675287
242.77,,145.54477611940936
246.788,,156.16687422166382
250.803,,149.626400996264
254.818,,142.2714819427151
258.835,,112.51492537313375
262.85,,119.521197007481
266.863,,113.03113325031308
270.878,,116.03237858032263
274.89,,138.61596009975207
278.903,,157.20298879203307
282.915,,149.50872817955084
286.928,,147.78082191780734
290.943,,137.8082191780793
294.955,,134.25685785536044
298.965,,119.521197007481
302.978,,118.5579078455814
306.993,,119.17808219178082
311.005,,124.44638403989995
315.015,,133.6683291770597
319.025,,138.43142144638057
323.035,,143.18204488778142
327.045,,143.75561097256656
331.053,,155.4856429463174
335.06,,103.98004987531695
339.07,,103.26433915211884
343.08,,112.817955112218
347.093,,124.77459526774624
351.11,,112.46268656716563
355.123,,181.40324594256916
359.133,,180.5006226650042
363.145,,176.17705735660877
367.158,,146.02241594022388
371.17,,157.7256857855388
375.178,,119.52059925093458
379.185,,103.1695760598556
383.193,,110.1622971285849
387.205,,111.29850746268976
391.218,,127.03121098626222
395.223,,135.34581772783963
399.23,,148.44389027431654
403.24,,148.17705735660905
407.25,,143.97007481296933
411.26,,151.86034912718
415.273,,116.51058530510788
419.29,,112.0124378109473
423.303,,115.18851435705048
427.315,,89.68905472636526
431.328,,104.87640449438173
435.338,,129.91282689912973
439.353,,147.99750933998033
443.368,,157.01369863013062
447.38,,150.63591022444325
451.39,,157.14713216957693
455.4,,131.81296758104187
459.41,,91.41895261846025
463.42,,107.67830423939627
467.433,,98.3561643835602
471.45,,97.50995024876114
475.468,,127.14819427148194
479.48,,150.3516209476318
483.493,,148.76712328766834
487.505,,145.08977556109667
491.52,,152.40796019900324
495.535,,110.5586034912782
499.548,,117.4669987546639
503.563,,113.14819427148397
507.575,,123.8603491271803
511.588,,107.43462017434766
515.603,,137.29265255292913
519.615,,152.02743142144755
523.625,,144.5137157107232
527.635,,153.90024937655483
531.648,,140.47571606475947
535.663,,131.65877957658432
539.673,,94.52184769038644
543.683,,102.92901618929248
547.695,,96.88778054862581
551.708,,110.14445828144719
555.72,,141.34164588528648
559.733,,146.13449564134757
563.745,,149.83291770573246
567.755,,183.30673316708172
571.768,,148.95641344956354
575.783,,102.88667496886588
579.798,,103.3798256538
583.81,,103.44887780549035
587.82,,93.11970074813054
591.835,,116.84328358208752
